voyageid,mjbyptimp,majbyimp,date_dep,mjslptimp,mjselimp,date_end
42756,São Tomé,Bight of Biafra and Gulf of Guinea islands,1585-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42766,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1585-??-??,,,
42894,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1585-??-??,San Domingo (a) Santo Domingo,Hispaniola,
42895,Cape Verde Islands,Senegambia and offshore Atlantic,,San Domingo (a) Santo Domingo,Hispaniola,
42896,Africa.; port unspecified,Other Africa,,San Domingo (a) Santo Domingo,Hispaniola,
42897,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,,San Domingo (a) Santo Domingo,Hispaniola,
41925,Africa.; port unspecified,Other Africa,,Cuba; port unspecified,Cuba,
42559,Cape Verde Islands,Senegambia and offshore Atlantic,1585-??-??,New Spain,Spanish Circum-Caribbean,
42620,Cape Verde Islands,Senegambia and offshore Atlantic,1585-??-??,New Spain,Spanish Circum-Caribbean,
28056,Portuguese Guinea,Senegambia and offshore Atlantic,1584-??-??,Cartagena,Spanish Circum-Caribbean,
28057,Portuguese Guinea,Senegambia and offshore Atlantic,1584-??-??,Cartagena,Spanish Circum-Caribbean,
28059,Portuguese Guinea,Senegambia and offshore Atlantic,1584-??-??,Cartagena,Spanish Circum-Caribbean,
28060,Cape Verde Islands,Senegambia and offshore Atlantic,,Cartagena,Spanish Circum-Caribbean,
42661,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1586-??-??,New Spain,Spanish Circum-Caribbean,
42674,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1586-??-??,New Spain,Spanish Circum-Caribbean,
42709,Cape Verde Islands,Senegambia and offshore Atlantic,1586-??-??,New Spain,Spanish Circum-Caribbean,
42710,Cape Verde Islands,Senegambia and offshore Atlantic,1586-??-??,Cartagena,Spanish Circum-Caribbean,
42769,Cape Verde Islands,Senegambia and offshore Atlantic,1586-??-??,Puerto Rico; port unspecified,Puerto Rico,
42801,Africa.; port unspecified,Other Africa,1586-??-??,Havana,Cuba,
42802,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1586-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
41937,São Tomé,Bight of Biafra and Gulf of Guinea islands,,Puerto Rico; port unspecified,Puerto Rico,
42523,Africa.; port unspecified,Other Africa,1586-??-??,,,
42524,Cape Verde Islands,Senegambia and offshore Atlantic,1586-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42543,Cape Verde Islands,Senegambia and offshore Atlantic,1586-??-??,New Spain,Spanish Circum-Caribbean,
42553,Africa.; port unspecified,Other Africa,1586-??-??,Havana,Cuba,
42612,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1586-??-??,New Spain,Spanish Circum-Caribbean,
42614,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1586-??-??,New Spain,Spanish Circum-Caribbean,
42640,Africa.; port unspecified,Other Africa,1586-??-??,,,
42647,Africa.; port unspecified,Other Africa,1586-??-??,,,
28996,Portuguese Guinea,Senegambia and offshore Atlantic,,La Guaira,Spanish Circum-Caribbean,
29782,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1586-??-??,New Spain,Spanish Circum-Caribbean,
28061,Cape Verde Islands,Senegambia and offshore Atlantic,1585-??-??,Cartagena,Spanish Circum-Caribbean,
28062,Cape Verde Islands,Senegambia and offshore Atlantic,1585-??-??,Cartagena,Spanish Circum-Caribbean,
28071,,,1586-??-??,,,
5087,Portuguese Guinea,Senegambia and offshore Atlantic,,Hispaniola; unspecified,Hispaniola,
42669,Africa.; port unspecified,Other Africa,1587-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42677,Cape Verde Islands,Senegambia and offshore Atlantic,1587-??-??,New Spain,Spanish Circum-Caribbean,
42685,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1587-??-??,New Spain,Spanish Circum-Caribbean,
42758,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1587-??-??,New Spain,Spanish Circum-Caribbean,
